,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
1836,1836,Black Fleet,747,157403,2014,688,7.04,4236,206.52342704149933,Good,0.12285333427630778,1.9568,4,14,3,60,7142,60,1.20862,217,290,1361,2014,Sebastian Bleasdale,"Nautical, Pirates, Transportation","Area Movement, Pick-up and Deliver, Variable Player Powers","Space Cowboys, Asmodee, Asterion Press",Moderate in-game text - needs crib sheet or paste ups,,157.0,Area Movement, Pick-up and Deliver, Variable Player Powers,,2_31-60
1939,1939,Blocky Mountains,30,144223,2014,5335,7.04,126,180.36666666666667,Good,0.09688096218155742,1.75,7,8,1,30,189,30,1.44207,5,53,128,2014,Gerhard Junker,"Action / Dexterity, Adventure","Cooperative Play, Modular Board","Juhu-Spiele, Noris Spiele",No necessary in-game text,,1178.0,Cooperative Play, Modular Board,,,1_<= 30
1995,1995,Blossoms,27,245710,2018,7011,6.15,234,176.37037037037038,Bad,0.11035747620510693,1.4286,2,8,2,20,386,20,1.6585400000000001,9,20,138,2018,Przemysław Fornal    Kajetan Kusina    Mateusz Pitulski    Kamil Rogowski,"Card Game, Farming","Press Your Luck, Set Collection",Rebel,No necessary in-game text,,1368.0,Press Your Luck, Set Collection,,,1_<= 30
2001,2001,Blue Lagoon,223,244331,2018,1193,7.3,1136,302.24663677130053,Good,0.0982027694001886,1.8837,4,8,2,30,2200,45,1.04788,39,165,848,2018,Reiner Knizia,Abstract Strategy,"Area Control / Area Influence, Route/Network Building, Set Collection","Blue Orange (EU), Blue Orange Games, ADC Blackfire Entertainment, Amo Oy, Broadway Toys LTD, Funiverse, Mandoo Games",No necessary in-game text,,224.0,Area Control / Area Influence, Route/Network Building, Set Collection,,2_31-60
2009,2009,Blueprints,878,140933,2013,789,6.88,5360,184.4567198177677,Bad,0.12067140587656144,1.6781,4,14,2,30,7214,30,1.0853,209,241,1034,2013,Yves Tourigny,Dice,"Dice Rolling, Pattern Building, Set Collection","Competo / Marektoy, Cube Factory of Ideas, Filosofia Éditions, Hobby Japan, Z-Man Games, Inc.",No necessary in-game text,,193.0,Dice Rolling, Pattern Building, Set Collection,,1_<= 30
2038,2038,Bohemian Villages,94,193651,2016,3759,6.36,529,165.5,Bad,0.026814458932575298,1.875,5,8,2,30,780,30,1.26895,38,35,125,2016,Reiner Stockhausen,Dice,Dice Rolling,"dlp games, Tasty Minstrel Games",No necessary in-game text,,959.0,Dice Rolling,,,,1_<= 30
2039,2039,Bohn To Be Wild!,47,128412,2012,3960,6.71,283,161.85106382978722,Bad,0.1389285828801369,1.8077,7,12,1,60,863,60,1.20074,22,14,49,2012,Uwe Rosenberg,"Card Game, Farming, Negotiation","Hand Management, Set Collection, Trading","999 Games, AMIGO",No necessary in-game text,,993.0,Hand Management, Set Collection, Trading,,2_31-60
2087,2087,Booty,20,173648,2015,6548,6.94,101,265.4,Bad,0.2154107911764162,2.5,6,10,3,60,209,60,1.2907799999999998,14,1,17,2015,Alexander Cobian,"Card Game, Pirates",,Mayfair Games,Some necessary text - easily memorized or small crib sheet,1679.0,1337.0,,,,,2_31-60
2105,2105,Boss Monster: The Dungeon Building Card Game,1664,131835,2013,1714,6.31,11289,184.7746394230769,Bad,0.08395871864198799,1.8159,4,13,2,30,22174,30,1.4586,783,98,995,2013,Johnny O Neal    Chris O Neal    Christopher O Neal,"Card Game, Fantasy, Video Game Theme","Auction/Bidding, Hand Management, Player Elimination, Take That, Variable Player Powers","Brotherwise Games, Edge Entertainment, Fever Games, GaGa Games, Pegasus Spiele, Redbox, Trefl Joker Line",Moderate in-game text - needs crib sheet or paste ups,,634.0,Auction/Bidding, Hand Management, Player Elimination," Take That, Variable Player Powers",1_<= 30
2130,2130,Braggart,215,72420,2010,3033,6.43,799,164.13488372093022,Bad,0.10267223676214207,1.2222,6,10,2,30,1214,30,1.50273,47,24,123,2010,Kyle Daniel,"Card Game, Fantasy, Humor, Medieval","Card Drafting, Hand Management, Set Collection, Storytelling, Take That","8th Summit, LocWorks, Spiral Galaxy Games",Extensive use of text - massive conversion needed to be playable,,870.0,Card Drafting, Hand Management, Set Collection," Storytelling, Take That",1_<= 30
2148,2148,BraveRats,430,112373,2011,1949,6.46,1810,140.48837209302326,Bad,0.1449637160215018,1.1444,2,8,2,15,3401,15,1.2741799999999999,136,45,270,2011,Seiji Kanai,"Card Game, Fantasy",Simultaneous Action Selection,"Kanai Factory, 999 Games, Albi, Blue Orange (EU), Blue Orange Games, Feelindigo, Japon Brand, PaperGames (III), Pegasus Spiele, QBIST",Some necessary text - easily memorized or small crib sheet,,554.0,Simultaneous Action Selection,,,,1_<= 30
2172,2172,Brew Crafters: Travel Card Game,159,154905,2014,2902,6.39,840,182.9685534591195,Bad,0.07739169282174553,1.3143,4,13,2,30,1946,30,1.13073,100,23,102,2014,Ben Rosset,Card Game,Hand Management,"(Self-Published), Greater Than Games (Dice Hate Me Games)",Some necessary text - easily memorized or small crib sheet,,800.0,Hand Management,,,,1_<= 30
2192,2192,Bring Out Yer Dead,105,158534,2015,3828,6.38,520,223.13333333333333,Bad,0.08586934525857949,2.0,5,12,2,40,1211,40,1.42251,93,28,136,2015,Arron Watts,"Horror, Renaissance","Action / Movement Programming, Area Control / Area Influence, Card Drafting, Set Collection","Ginger Ale Games, Upper Deck Entertainment",No necessary in-game text,,1007.0,Action / Movement Programming, Area Control / Area Influence, Card Drafting, Set Collection,2_31-60
2208,2208,Broom Service,920,172308,2015,431,7.22,6158,258.2554347826087,Good,0.11130795873800996,2.3897,5,10,2,30,10322,75,1.22316,245,355,1497,2015,Andreas Pelikan    Alexander Pfister,Fantasy,"Area Movement, Hand Management, Pick-up and Deliver, Set Collection, Simultaneous Action Selection","alea, Ravensburger Spieleverlag GmbH, Arclight, Broadway Toys LTD, Grow Jogos e Brinquedos, Hobby World",Some necessary text - easily memorized or small crib sheet,270.0,76.0,Area Movement, Hand Management, Pick-up and Deliver," Set Collection, Simultaneous Action Selection",3_61-120
2223,2223,Bubblee Pop,90,192343,2016,3200,6.45,650,187.36666666666667,Bad,0.1012753533686783,1.5333,2,8,1,20,1071,20,1.4540799999999998,68,11,70,2016,Grégory Oliver,,Pattern Building,"Bankiiiz Editions, Rebel, SD Games",No necessary in-game text,,850.0,Pattern Building,,,,1_<= 30
2230,2230,Bucket King 3D,96,159209,2014,4515,6.23,420,157.61458333333334,Bad,0.0345470903556975,1.2,6,8,2,20,502,20,1.42456,20,22,74,2014,Stefan Dorra,"Action / Dexterity, Animals, Card Game","Hand Management, Take That","999 Games, Atalia, AURUM, Inc., Jolly Thinkers, KOSMOS, Lautapelit.fi, Zhiyanjia",No necessary in-game text,,1114.0,Hand Management, Take That,,,1_<= 30
2257,2257,Bullfrogs,141,149853,2015,2127,6.88,823,159.74468085106383,Bad,0.1182935188767572,1.8667,4,8,2,20,1758,40,1.2082899999999999,83,41,208,2015,Keith Matejka,"Abstract Strategy, Animals, Card Game","Action Point Allowance System, Area Control / Area Influence, Hand Management, Modular Board","FunBox Jogos, Renegade Game Studios, Thunderworks Games, Zvezda",No necessary in-game text,,565.0,Action Point Allowance System, Area Control / Area Influence, Hand Management, Modular Board,2_31-60
2273,2273,Bunny Kingdom,569,184921,2017,432,7.39,3998,261.493848857645,Good,0.0860921640697636,2.2581,4,12,2,40,5878,60,1.23947,67,483,2080,2017,Richard Garfield,"Animals, Medieval, Territory Building","Area Control / Area Influence, Card Drafting","IELLO, Bureau De Juegos, Devir, Egmont Polska, GoKids 玩樂小子, Hobby Japan, Mancalamaro",Some necessary text - easily memorized or small crib sheet,,67.0,Area Control / Area Influence, Card Drafting,,,2_31-60
2289,2289,Burgle Bros.,953,172081,2015,200,7.62,6065,215.23294858342084,Good,0.1276306755627428,2.2772,4,12,1,45,10927,90,1.16238,149,893,3774,2015,Tim Fowers,"Exploration, Maze, Spies/Secret Agents","Action Point Allowance System, Cooperative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Fowers Games, (Self-Published), 2Tomatoes",Moderate in-game text - needs crib sheet or paste ups,,24.0,Action Point Allowance System, Cooperative Play, Dice Rolling," Grid Movement, Modular Board, Variable Player Powers",3_61-120
2300,2300,Burrows,89,33155,2010,4838,6.24,350,211.61797752808982,Bad,0.0659075794267053,1.5,5,10,2,45,615,45,1.14445,62,14,48,2010,Jeb Havens,Abstract Strategy,Tile Placement,"Z-Man Games, Inc.",No necessary in-game text,,1132.0,Tile Placement,,,,2_31-60
2333,2333,Byzantio,57,98739,2013,5827,6.48,190,319.0175438596492,Bad,0.0793970006776594,2.2105,4,10,2,60,428,60,1.6679400000000002,38,9,84,2013,Alexander Boucharelis    Lefteris Iroglidis    Anestis Iroglidis,"Bluffing, Deduction, Fantasy, Medieval","Area Control / Area Influence, Area Movement, Dice Rolling, Paper-and-Pencil, Secret Unit Deployment",LudiCreations,No necessary in-game text,1608.0,1265.0,Area Control / Area Influence, Area Movement, Dice Rolling," Paper-and-Pencil, Secret Unit Deployment",2_31-60
2339,2339,Bärenpark,879,219513,2017,306,7.38,6588,202.28213879408418,Good,0.1342051477783211,1.7164,4,8,2,30,9385,45,1.04775,104,754,2554,2017,Phil Walker Harding,"Animals, Puzzle","Card Drafting, Set Collection, Tile Placement","Lookout Games, 999 Games, Funforge, GaGa Games, GoKids 玩樂小子, Hobby Japan, Korea Boardgames co., Ltd., Lacerta, Lanlalen, Ludofy Creative, Maldito Games, Mayfair Games, uplay.it edizioni",No necessary in-game text,,42.0,Card Drafting, Set Collection, Tile Placement,,2_31-60
2348,2348,C. C. Higgins Rail Pass,20,100275,2014,10066,6.48,50,497.35,Bad,0.1160048844165524,1.6667,6,8,2,60,155,60,2.20336,10,5,22,2014,Patrick Stevens,"Trains, Travel","Point to Point Movement, Route/Network Building, Set Collection",Numbskull Games,No necessary in-game text,1808.0,1519.0,Point to Point Movement, Route/Network Building, Set Collection,,2_31-60
2367,2367,COGZ,51,150294,2015,4652,7.08,170,182.62745098039213,Good,0.14286030090241908,2.0,6,8,2,30,279,30,1.14449,5,7,54,2015,Wesley Lamont,"Abstract Strategy, Educational, Memory, Puzzle","Hand Management, Memory, Modular Board, Pattern Building, Pattern Recognition, Tile Placement",RAEZ,No necessary in-game text,,1115.0,Hand Management, Memory, Modular Board," Pattern Building, Pattern Recognition, Tile Placement",1_<= 30
2376,2376,CV,811,143986,2013,1012,6.7,5121,212.62268803945747,Bad,0.07830981606887348,1.8439,4,10,2,60,6895,60,1.3402100000000001,294,240,1189,2013,Filip Miłuński,"Card Game, Dice, Humor","Card Drafting, Dice Rolling, Hand Management, Press Your Luck, Set Collection, Simulation","Gigamic, Granna, Conclave Editora, cosaic, Devir, GeGe Co. Ltd., Gém Klub Kft., Heidelberger Spieleverlag, KADABRA, Passport Game Studios",Some necessary text - easily memorized or small crib sheet,,276.0,Card Drafting, Dice Rolling, Hand Management," Press Your Luck, Set Collection, Simulation",2_31-60
2378,2378,CVlizations,158,181494,2015,2863,6.42,834,175.72151898734177,Bad,0.10793515158790344,1.9286,5,10,2,45,1551,60,1.2498799999999999,134,53,297,2015,Jan Zalewski,"Card Game, Civilization, Humor","Action / Movement Programming, Hand Management, Set Collection","Arclight, Fantasmagoria, Granna, Passport Game Studios",Moderate in-game text - needs crib sheet or paste ups,,768.0,Action / Movement Programming, Hand Management, Set Collection,,2_31-60
2385,2385,Cabo,107,73664,2010,2710,6.91,497,151.85981308411215,Bad,0.08708446195178507,1.4167,5,8,2,30,682,30,1.55057,6,14,62,2010,Mandy Henning    Melissa Limes,Card Game,"Hand Management, Memory","Eventide Games, Smiling Monster Games",Some necessary text - easily memorized or small crib sheet,,724.0,Hand Management, Memory,,,1_<= 30
2386,2386,Cacao,873,171499,2015,513,7.12,6364,171.7709049255441,Good,0.1331489298531338,1.8212,4,8,2,45,8256,45,1.05102,130,247,1129,2015,Phil Walker Harding,"Economic, Farming, Territory Building","Area Control / Area Influence, Hand Management, Tile Placement","ABACUSSPIELE, G3, 999 Games, Albi, Cranio Creations, cutia.ro, Devir, Fantasmagoria, Filosofia Éditions, Gém Klub Kft., GoKids 玩樂小子, Korea Boardgames co., Ltd., Lautapelit.fi, uplay.it edizioni, White Goblin Games, Z-Man Games, Inc.",No necessary in-game text,,105.0,Area Control / Area Influence, Hand Management, Tile Placement,,2_31-60
2423,2423,Call to Glory,94,124590,2012,3324,6.6,480,166.9893617021277,Bad,0.033644202573528466,1.5588,4,8,2,30,575,30,1.26155,19,47,221,2012,Michael Schacht,Card Game,"Hand Management, Set Collection",White Goblin Games,No necessary in-game text,,854.0,Hand Management, Set Collection,,,1_<= 30
2431,2431,Camel Up,2462,153938,2014,408,7.07,18598,160.8907392363932,Good,0.1150780718518806,1.4809,8,8,2,20,24355,30,1.2298200000000001,338,529,2630,2014,Steffen Bogen,"Animals, Dice, Racing","Betting/Wagering, Dice Rolling, Roll / Spin and Move","eggertspiele, 999 Games, Albi, Ediciones MasQueOca, Fantasmagoria, Filosofia Éditions, Hobby Japan, Hobby World, Ideal Board Games, KADABRA, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lucrum Games, Ninive Games, Pegasus Spiele, Piatnik, Swan Panasia Co., Ltd., uplay.it edizioni, Z-Man Games, Inc.",No necessary in-game text,,94.0,Betting/Wagering, Dice Rolling, Roll / Spin and Move,,1_<= 30
2497,2497,Capital Lux,256,205046,2016,1257,7.08,1372,223.79296875,Good,0.09993684426830536,2.0541,4,10,2,30,2107,30,1.14477,37,191,625,2016,Eilif Svensson    Kristian Amundsen Østby,"Bluffing, Card Game, Science Fiction","Area Control / Area Influence, Card Drafting, Hand Management","Aporta Games, Granna, Hobby World, Ludicus, Morapiaf, NeoTroy Games, PaperGames (III), PixieGames",No necessary in-game text,,284.0,Area Control / Area Influence, Card Drafting, Hand Management,,1_<= 30
2538,2538,Carcassonne: Amazonas,145,206940,2016,1451,7.18,1004,196.08965517241376,Good,0.17084764964745314,1.92,5,8,2,35,2262,35,1.17963,43,84,389,2016,Klaus Jürgen Wrede,,"Point to Point Movement, Tile Placement","999 Games, Fantasmagoria, Filosofia Éditions, Giochi Uniti, Hans im Glück, Hobby World, Z-Man Games, Inc.",No necessary in-game text,,331.0,Point to Point Movement, Tile Placement,,,2_31-60
2539,2539,Carcassonne: Gold Rush,152,163370,2014,1331,7.2,1137,222.34210526315792,Good,0.1110573615333856,1.9302,5,8,2,35,2267,35,1.1103299999999998,46,69,246,2014,Klaus Jürgen Wrede,American West,"Area Control / Area Influence, Tile Placement","999 Games, Bard Centrum Gier, Filosofia Éditions, Giochi Uniti, Hans im Glück, Hobby World, MINDOK, Piatnik, Z-Man Games, Inc.",No necessary in-game text,681.0,293.0,Area Control / Area Influence, Tile Placement,,,2_31-60
2541,2541,Carcassonne: Over Hill and Dale,94,182082,2015,2202,7.37,475,178.20212765957447,Good,0.1341858736699231,2.1176,5,7,2,35,1210,35,1.2219200000000001,29,47,138,2015,Klaus Jürgen Wrede,Farming,"Set Collection, Tile Placement","999 Games, Filosofia Éditions, Hans im Glück, Hobby World, White Goblin Games, Z-Man Games, Inc.",No necessary in-game text,,513.0,Set Collection, Tile Placement,,,2_31-60
2543,2543,Carcassonne: South Seas,451,147303,2013,820,7.13,2611,208.3968957871397,Good,0.15576389232801954,1.8468,5,8,2,35,4280,35,1.1552,88,111,436,2013,Klaus Jürgen Wrede,"Economic, Nautical","Area Control / Area Influence, Set Collection, Tile Placement","999 Games, Bergsala Enigma, Devir, Filosofia Éditions, Giochi Uniti, Hans im Glück, Hobby World, Lautapelit.fi, Piatnik, Z-Man Games, Inc.",No necessary in-game text,,183.0,Area Control / Area Influence, Set Collection, Tile Placement,,2_31-60
2544,2544,Carcassonne: Star Wars,263,180564,2015,1527,6.79,1599,190.8479087452472,Bad,0.14081027870866786,1.7368,5,7,2,35,3369,35,1.40106,71,129,477,2015,Klaus Jürgen Wrede,"Movies / TV / Radio theme, Science Fiction","Dice Rolling, Tile Placement","Hans im Glück, Bard Centrum Gier, Bergsala Enigma, Devir, Kaissa Chess & Games, Lautapelit.fi, White Goblin Games",No necessary in-game text,,424.0,Dice Rolling, Tile Placement,,,2_31-60
2550,2550,Carcassonne: Winter Edition,261,131014,2012,857,7.5,1459,157.4176245210728,Good,0.1512158511580204,1.8246,5,8,2,40,2889,40,1.2961200000000002,34,82,296,2012,Klaus Jürgen Wrede,"City Building, Medieval","Area Control / Area Influence, Tile Placement","999 Games, Bard Centrum Gier, Devir, Filosofia Éditions, Hans im Glück, Hobby World, MINDOK, Piatnik, Z-Man Games, Inc.",No necessary in-game text,,175.0,Area Control / Area Influence, Tile Placement,,,2_31-60
2553,2553,Card City,89,129710,2012,5410,6.08,384,257.13483146067415,Bad,0.05802386506153715,2.0526,4,12,1,30,720,30,1.3432899999999999,74,15,71,2012,Alban Viard,"Card Game, City Building, Economic, Territory Building","Card Drafting, Tile Placement",Ludibay,No necessary in-game text,1564.0,1226.0,Card Drafting, Tile Placement,,,1_<= 30
2563,2563,Cardline: Animals,228,130882,2012,1850,6.59,1554,150.76754385964912,Bad,0.13116810204639984,1.1695,8,7,2,15,2703,15,1.1572200000000001,37,41,169,2012,Frédéric Henry,"Animals, Card Game, Educational",,"Asmodee, Asterion Press, Bombyx, Gém Klub Kft., GoKids 玩樂小子, Rebel, REXhry",No necessary in-game text,,497.0,,,,,1_<= 30
2564,2564,Cardline: Dinosaurs,57,163277,2014,5483,6.12,375,167.9298245614035,Bad,0.08866103789114445,1.1667,8,7,2,15,800,15,1.33093,12,19,77,2014,Frédéric Henry,"Card Game, Educational",,"Bombyx, GoKids 玩樂小子, Rebel",No necessary in-game text,,1237.0,,,,,1_<= 30
2565,2565,Cardline: Globetrotter,86,145014,2013,3473,6.43,547,150.11627906976744,Bad,0.043943223957149766,1.4348,7,8,2,15,1179,15,1.1995799999999999,21,24,81,2013,Frédéric Henry,"Card Game, Educational, Trivia",,"Asmodee, Bombyx, GoKids 玩樂小子, REXhry",Moderate in-game text - needs crib sheet or paste ups,,896.0,,,,,1_<= 30
2573,2573,Cargo Noir,511,90305,2011,1683,6.49,2596,225.0195694716243,Bad,0.09437063935428276,2.0819,5,8,2,30,3517,90,1.29555,168,100,521,2011,Serge Laget,Economic,"Auction/Bidding, Set Collection, Worker Placement",Days of Wonder,Some necessary text - easily memorized or small crib sheet,,474.0,Auction/Bidding, Set Collection, Worker Placement,,3_61-120
2575,2575,Cargotrain,22,165041,2014,8533,6.23,107,224.95454545454547,Bad,-0.003326477815114177,2.75,4,10,2,60,258,60,1.43177,30,5,33,2014,Krzysztof Matusik,"Card Game, Trains, Transportation","Action / Movement Programming, Modular Board, Pick-up and Deliver, Set Collection, Simultaneous Action Selection",Game Fabrica,No necessary in-game text,1771.0,1480.0,Action / Movement Programming, Modular Board, Pick-up and Deliver," Set Collection, Simultaneous Action Selection",2_31-60
2612,2612,Cartoona,65,116948,2012,9395,6.01,246,305.03076923076924,Bad,0.017616188833332283,1.5652,8,3,1,30,579,40,1.7679599999999998,46,7,47,2012,Robert Burke,"""Childrens Game""","Pattern Recognition, Set Collection, Tile Placement",Robert Burke Games,Moderate in-game text - needs crib sheet or paste ups,,1532.0,Pattern Recognition, Set Collection, Tile Placement,,2_31-60
2632,2632,Castellan,184,114903,2013,3194,6.31,830,159.2336956521739,Bad,0.12639074540540654,1.4651,2,10,2,45,2071,45,1.14536,74,33,198,2013,Beau Beckett,Medieval,"Area Enclosure, Hand Management",Steve Jackson Games,No necessary in-game text,,874.0,Area Enclosure, Hand Management,,,2_31-60
2646,2646,Castle Dice,207,129320,2013,2227,6.71,898,239.18840579710144,Bad,0.07557109243400577,2.2712,4,10,1,45,1491,45,1.32501,67,94,340,2013,Luke Peterschmidt,"Dice, Medieval","Dice Rolling, Set Collection",Fun to 11,Some necessary text - easily memorized or small crib sheet,,605.0,Dice Rolling, Set Collection,,,2_31-60
2661,2661,Castles of Caladale,102,213370,2017,3143,6.53,577,253.2450980392157,Bad,0.1214107566335796,1.3333,4,8,1,30,1165,30,1.36786,62,61,247,2017,David Wilkinson,"Fantasy, Medieval, Puzzle, Real-time","Modular Board, Pattern Building, Tile Placement","2 Pionki, Portal Games, Renegade Game Studios",No necessary in-game text,,841.0,Modular Board, Pattern Building, Tile Placement,,1_<= 30
2673,2673,Cat Lady,288,228504,2017,1060,7.17,1634,187.91319444444446,Good,0.15450006602731026,1.4062,4,14,2,15,2916,30,1.12906,35,118,588,2017,Josh Wood,"Animals, Card Game","Card Drafting, Set Collection","Alderac Entertainment Group, Arclight, Edge Entertainment, MINDOK, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,,225.0,Card Drafting, Set Collection,,,1_<= 30
2690,2690,Catan Histories: Merchants of Europe,58,103091,2011,3061,6.77,467,163.55172413793102,Bad,0.08756048655473946,2.4146,4,12,3,120,1450,120,1.31149,65,26,113,2011,Klaus Teuber,"Civilization, Negotiation","Dice Rolling, Route/Network Building, Trading","999 Games, Albi, Bergsala Enigma, Devir, Galakta, Giochi Uniti, Hobby World, Ideal Board Games, KOSMOS, Mayfair Games",Some necessary text - easily memorized or small crib sheet,1202.0,799.0,Dice Rolling, Route/Network Building, Trading,,3_61-120
2694,2694,Catan Junior,36,184842,2014,5004,6.52,254,141.27777777777774,Bad,0.14460025352733685,1.5,4,6,2,30,694,30,1.2097,5,4,40,2014,Klaus Teuber,"""Childrens Game"", Pirates","Dice Rolling, Trading","999 Games, Bergsala Enigma, Devir, Filosofia Éditions, Galakta, Korea Boardgames co., Ltd., KOSMOS, Piatnik",No necessary in-game text,,1153.0,Dice Rolling, Trading,,,1_<= 30
2696,2696,Catan: Ancient Egypt,40,161527,2014,3188,7.27,296,173.7,Good,0.1639676328757999,2.4737,4,10,3,75,866,75,1.29583,17,42,155,2014,Klaus Teuber,"Civilization, Negotiation","Dice Rolling, Route/Network Building, Trading","999 Games, Devir, KOSMOS, Mayfair Games",Moderate in-game text - needs crib sheet or paste ups,,816.0,Dice Rolling, Route/Network Building, Trading,,3_61-120
